Compound_id,drug_name,canonical_smiles,inchi_key,LogS (aqueous solubility),LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20%),F(30%),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,Genotoxic_Carcinogenicity_Mutagenicity,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle,0,Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility,Hepatotoxicity,Neurotoxicity,Nephrotoxicity,Respiratory Toxicity,Cardiotoxicity,Carcinogenicity,Immunotoxicity,Mutagenicity,Cytotoxicity,BBB,Ecotoxicity,Clinical toxicity,Nutritional toxicity,Aryl hydrocarbon Receptor (AhR),Androgen Receptor (AR),Androgen Receptor Ligand Binding Domain (AR-LBD),Aromatasen,Estrogen Receptor Alpha (ER),Estrogen Receptor Ligand Binding Domain (ER-LBD),Peroxisome Proliferator Activated Receptor Gamma (PPAR-Gamma),Nuclear factor (erythroid-derived 2)-like 2/antioxidant responsive element (nrf2/ARE),Heat shock factor response element (HSE),Mitochondrial Membrane Potential (MMP),Phosphoprotein (Tumor Supressor) p53,ATPase family AAA domain-containing protein 5 (ATAD5),Thyroid hormone receptor alpha (THR?),Thyroid hormone receptor beta (THR?),Transtyretrin (TTR),Ryanodine receptor (RYR),GABA receptor (GABAR),Glutamate N-methyl-D-aspartate receptor (NMDAR), alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionate receptor (AMPAR),Kainate receptor (KAR),Achetylcholinesterase (AChE),Constitutive androstane receptor (CAR),Pregnane X receptor (PXR),NADH-quinone oxidoreductase (NADHOX),Voltage gated sodium channel (VGSC),Na+/I- symporter (NIS),Cytochrome CYP1A2CYP1A2,Cytochrome CYP2C19CYP2C19 ,Cytochrome CYP2C9CYP2C9,Cytochrome CYP2D6CYP2D6,Cytochrome CYP3A4CYP3A4,Cytochrome CYP2E1CYP2E1
S1060,Olaparib (AZD2281),FC1=C(C=C(CC2=NNC(=O)C3=C2C=CC=C3)C=C1)C(=O)N4CCN(CC4)C(=O)C5CC5,,-4.75,2.183,2.223,0.95,0.971,0.277,0.004,0.029,-5.195,0.0000123,0.138,0.9295,1.31,0.0441,0.068,0.179,0.661,0.23,0.881,0.912,0.091,0.869,0.875,0.511,3.522,0.306,0.449,0.928,0.763,0.01,0.943,0.36,0.081,0.232,0.003,0.01,0.182,0.486,2.268,2.976,5.327,0.43,0.294,0.172,0.024,0.26,0.038,0.338,0.705,0.008,0.06,0.094,0.042,434.18,430.939,1.008,7,1,86.37,6,5,10,8,0,29,0.207,0,1,1,0,0,0,1,0,0,0.683,2.369,0.333,65.812,-1.608,0,0,0,0,Accepted,Accepted,Rejected,Accepted,0,Molecule 1,O=C(N1CCN(CC1)C(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1cccc2)C1CC1,C24H23FN4O3,434.46,32,16,0.33,6,5,1,125.21,86.37,2.84,1.9,1.94,3.09,4.14,2.78,-3.7,0.0858,0.000197,Soluble,-3.34,0.2,0.000461,Soluble,-6.61,0.000108,0.000000248,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-7.6,0,0,0,0,0,0.55,0,0,1,3.15,0.62,0.77,0.68,0.89,0.8,0.57,0.95,0.54,0.65,0.85,0.52,0.71,0.71,0.86,0.98,0.98,0.94,0.89,0.97,0.98,0.91,0.91,0.81,0.87,0.94,0.83,0.74,0.95,0.76,0.52,0.91,0.98,1,0.58,0.99,0.63,0.97,0.71,0.95,0.86,0.64,0.7,0.53,0.59,0.99
S1168,Valproic Acid (NSC 93819) sodium salt,CCCC(CCC)C(=O)O[Na],,-0.572,-0.054,1.095,0.001,0.001,0.003,0.004,0.024,-4.261,0.0000334,0.996,0.7289,0.655,0.3139,0.053,0.578,0.038,0.892,0.086,0.939,0.007,0.102,0.006,0.091,2.791,0.683,0.032,0.815,0.046,0.02,0.134,0.012,0.624,0.289,0.975,0.99,0.234,0.562,3.142,3.393,3.78,0.814,0.008,0.007,0.005,0.128,0.01,0.04,0.025,0.006,0.12,0.006,0.005,143.11,160.55,0.891,2,0,40.13,5,0,0,2,-1,1,5,0,0,0,0,0,0,0,0,0,0.575,2.986,0.875,0,-0.082,0,0,0,0,Accepted,Accepted,Accepted,Rejected,0,Molecule 42,CCCC(C(=O)O[Na])CCC,C8H15NaO2,166.19,11,0,0.88,6,2,0,40.8,26.3,0,2.94,2.21,1.96,0.58,1.54,-2.33,0.783,0.00471,Soluble,-3.15,0.116,0.000701,Soluble,-2.08,1.39,0.00834,Soluble,High,Yes,No,No,No,No,No,No,-5.23,0,0,0,0,1,0.55,0,0,1,2.03,0.57,0.85,0.55,0.88,0.8,0.69,0.99,0.84,0.71,0.97,0.65,0.78,0.83,0.99,0.99,0.96,0.99,0.99,0.96,0.85,0.79,0.79,0.93,0.93,0.99,0.7,0.62,0.68,0.94,0.62,0.94,0.99,1,0.81,0.99,0.57,0.51,0.9,0.96,0.83,0.92,0.59,0.83,0.97,0.99
S1188,Anastrozole (ZD-1033),CC(C)(C#N)C1=CC(=CC(=C1)C[N]2C=NC=N2)C(C)(C)C#N,,-2.482,1.933,1.718,0.976,0.023,0.008,0.004,0.003,-5.006,0.0000285,0.027,0.4376,1.18,0.6173,0.614,0.541,0.772,0.067,0.804,0.347,0.278,0.073,0.912,0.556,4.332,0.808,0.021,0.848,0.948,0.011,0.953,0.957,0.925,0.78,0.943,0.829,0.992,0.977,2.147,4.913,2.041,0.015,0.008,0.118,0.983,0.049,0.005,0.045,0.665,0.005,0.022,0.161,0.017,293.16,316.731,0.926,5,0,78.29,4,2,6,5,0,13,0.308,0,0,0,0,0,0,0,2,0,0.868,2.878,0.412,16,-1.326,0,0,0,0,Accepted,Accepted,Accepted,Accepted,0,Molecule 2,N#CC(c1cc(cc(c1)C(C#N)(C)C)Cn1ncnc1)(C)C,C17H19N5,293.37,22,11,0.41,4,4,0,83.81,78.29,2.25,2.03,2.93,1.71,2.85,2.35,-3.04,0.265,0.000904,Soluble,-3.3,0.146,0.000499,Soluble,-4.77,0.00498,0.000017,Moderately soluble,High,Yes,No,No,No,Yes,No,No,-6.65,0,0,0,0,0,0.55,0,0,0,2.21,0.65,0.78,0.94,0.67,0.9,0.51,0.97,0.62,0.77,0.9,0.81,0.58,0.61,0.89,0.99,0.99,1,0.97,0.99,0.99,0.97,0.97,0.92,0.98,0.99,0.95,0.85,0.87,0.94,0.62,0.95,1,1,0.71,1,0.63,0.95,0.78,0.93,0.84,0.77,0.6,0.57,0.6,0.84
S1193,Thalidomide (K17),O=C1CCC(N2C(=O)C3=C(C=CC=C3)C2=O)C(=O)N1,,-2.535,0.36,0.36,0.008,0.003,0.013,0.047,0.329,-4.778,0.0000423,0.997,0.6033,0.223,0.4782,0.026,0.487,0.103,0.103,0.046,0.942,0.443,0.195,0.024,0.694,1.309,0.65,0.006,0.233,0.898,0.02,0.679,0.015,0.298,0.016,0.003,0.02,0.017,0.263,3.003,3.196,3.708,0.378,0.016,0.075,0.012,0.271,0.006,0.004,0.15,0.006,0.006,0.025,0.006,258.06,246.434,1.047,6,1,83.55,1,3,9,6,0,20,0.05,1,0,0,0,0,3,0,0,0,0.723,2.597,0.231,57.375,-0.237,1,0,0,0,Accepted,Accepted,Accepted,Accepted,0,Molecule 12,O=C1CCC(C(=O)N1)N1C(=O)c2c(C1=O)cccc2,C13H10N2O4,258.23,19,6,0.23,1,4,1,70.95,83.55,1.28,0.33,-0.67,0.87,1.02,0.57,-1.82,3.94,0.0153,Very soluble,-1.65,5.81,0.0225,Very soluble,-3.05,0.229,0.000885,Soluble,High,No,No,No,No,No,No,No,-7.64,0,1,0,0,0,0.55,0,1,0,2.17,0.71,0.88,0.64,0.84,0.83,0.64,0.98,0.72,0.73,0.99,0.66,0.79,0.57,0.95,0.99,0.99,0.97,0.98,0.99,0.97,0.98,0.98,0.96,0.96,0.98,0.88,0.77,0.7,0.91,0.68,0.95,0.94,0.98,0.81,0.99,0.67,0.97,0.72,0.79,0.93,0.96,0.72,0.77,0.92,0.99
S1196,Exemestane (FCE 24304),CC12CCC3C(CC(=C)C4=CC(=O)C=CC34C)C1CCC2=O,,-4.896,3.206,2.686,0.968,0,0.005,0.002,0.001,-4.855,0.000018,0.048,0.9163,1.62,0.0365,0.432,0.696,0.771,0.834,0.56,0.162,0.894,0.098,0.827,0.857,15.805,0.728,0.04,0.619,0.029,0.014,0.285,0.903,0.355,0.916,0.003,0.012,0.969,0.556,3.387,3.751,4.166,0.895,0.955,0.004,0.753,0.325,0.844,0.197,0.955,0.251,0.812,0.732,0.878,296.18,324.648,0.912,2,0,34.14,0,4,17,2,0,23,0,5,1,1,0,0,4,3,1,1,0.676,4.305,0.6,65.625,2.526,1,0,0,0,Accepted,Accepted,Accepted,Accepted,0,Molecule 3,O=C1C=CC2(C(=C1)C(=C)CC1C2CCC2(C1CCC2=O)C)C,C20H24O2,296.4,22,0,0.6,0,2,0,88.26,34.14,2.8,3.07,4.03,3.55,4.12,3.51,-3.61,0.0725,0.000244,Soluble,-3.45,0.104,0.000352,Soluble,-4.09,0.0239,0.0000807,Moderately soluble,High,Yes,No,No,Yes,Yes,No,No,-5.93,0,0,0,0,0,0.55,0,0,0,5.03,0.54,0.77,0.93,0.9,0.78,0.55,0.98,0.95,0.75,0.97,0.55,0.56,0.54,1,1,1,1,1,0.89,1,0.93,0.93,0.98,0.92,1,0.69,0.97,0.71,0.92,0.74,0.99,1,1,0.8,0.99,0.61,0.74,0.95,0.89,0.99,0.81,0.57,0.93,0.68,0.99
S1199,Cladribine (RWJ 26251),NC1=NC(=NC2=C1N=C[N]2C3CC(O)C(CO)O3)Cl,,-1.877,-0.065,-0.946,0.001,0.266,0.018,0.009,0.003,-5.467,0.0000306,0.81,0.1787,6.629,0.6952,0.073,0.919,0.074,0.059,0.007,0.111,0.007,0.116,0.015,0.168,11.767,0.744,0.022,0.938,0.98,0.048,0.505,0.473,0.097,0.936,0.003,0.019,0.97,0.241,1.771,3.268,4.571,0.001,0.002,0.321,0.467,0.091,0.018,0.025,0.442,0.014,0.012,0.026,0.924,285.06,241.867,1.179,8,4,120.04,2,3,9,9,0,16,0.125,3,2,0,1,0,3,1,2,0,0.556,4.182,0.5,60.067,0.732,0,0,0,0,Accepted,Accepted,Accepted,Accepted,0,Molecule 41,OCC1OC(CC1O)n1cnc2c1nc(Cl)nc2N,C10H12ClN5O3,285.69,19,9,0.5,2,6,3,66.52,119.31,1.53,0.02,-0.61,-0.57,-0.84,-0.09,-1.84,4.11,0.0144,Very soluble,-2.08,2.39,0.00837,Soluble,-1.01,28.2,0.0986,Soluble,High,No,No,No,No,No,No,No,-8.03,0,1,0,0,0,0.55,0,0,0,3.65,0.61,0.95,0.89,0.99,0.83,0.63,0.99,0.82,0.8,0.98,0.57,0.74,0.71,0.99,0.99,0.99,0.81,0.93,0.99,0.9,0.99,0.99,0.98,1,0.91,0.93,0.83,0.8,0.85,0.67,0.92,0.91,0.97,0.69,0.99,0.67,0.93,0.51,0.83,0.95,0.92,0.77,0.72,0.99,0.99
S1209,"Fluorouracil (5-Fluorouracil, 5-FU)",FC1=CNC(=O)NC1=O,,-1.279,-0.283,-0.773,0,0.011,0.988,0.003,0.995,-4.998,0.0000129,0.051,0.1301,0.39,0.7797,0.031,0.978,0.051,0.054,0.01,0.129,0.006,0.038,0.006,0.191,9.342,0.938,0.021,0.867,0.973,0.067,0.936,0.029,0.22,0.081,0.005,0.891,0.07,0.266,1.672,2.63,4.639,0.012,0.001,0.01,0.003,0.065,0.008,0.002,0.024,0.739,0.006,0.006,0.375,130.02,106.916,1.216,4,2,65.72,0,1,6,5,0,8,0,0,1,0,0,0,0,1,0,0,0.483,2.659,0,6,-0.799,0,0,0,0,Accepted,Accepted,Accepted,Rejected,0,Molecule 42,Fc1c[nH]c(=O)[nH]c1=O,C4H3FN2O2,130.08,9,6,0,0,3,2,27.64,65.72,0.44,-0.89,-0.38,-0.32,1.78,0.13,-0.58,34.3,0.264,Very soluble,-0.01,128,0.982,Very soluble,-1.71,2.54,0.0195,Soluble,High,No,No,No,No,No,No,No,-7.73,0,3,0,0,2,0.55,0,0,1,1.52,0.78,0.9,0.51,0.72,0.89,0.85,0.99,0.88,0.93,0.89,0.52,0.61,0.68,0.94,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.95,1,1,0.9,0.78,0.97,0.98,0.96,0.92,0.97,0.99,0.78,0.98,0.92,0.97,0.95,0.98,0.81,0.95,0.62,0.77,0.98,0.99
S1235,Letrozole (CGS 20267),N#CC1=CC=C(C=C1)C([N]2C=NC=N2)C3=CC=C(C=C3)C#N,,-4.902,2.066,2.429,0.057,0.001,0.007,0.004,0.002,-4.754,0.0000143,0.023,0.7411,1.413,0.2309,0.383,0.22,0.501,0.064,0.533,0.13,0.048,0.112,0.693,0.578,8.575,0.159,0.767,0.943,0.989,0.122,0.044,0.961,0.774,0.318,0.017,0.664,0.04,0.692,2.996,3.832,2.209,0.008,0.003,0.177,0.985,0.492,0.492,0.386,0.534,0.011,0.01,0.295,0.083,285.1,300.265,0.949,5,0,78.29,3,3,6,5,0,19,0.158,0,0,0,0,0,0,0,2,0,0.741,2.384,0.059,15,-1.166,0,0,0,0,Accepted,Accepted,Accepted,Accepted,0,Molecule 4,N#Cc1ccc(cc1)C(n1cncn1)c1ccc(cc1)C#N,C17H11N5,285.3,22,17,0.06,3,4,0,79.69,78.29,2.2,2.73,2.66,1.49,2.53,2.32,-3.7,0.0566,0.000198,Soluble,-4.03,0.0267,0.0000937,Moderately soluble,-5.29,0.00147,0.00000515,Moderately soluble,High,Yes,No,Yes,Yes,Yes,Yes,No,-6.1,0,0,0,0,0,0.55,0,0,0,2.13,0.51,0.93,0.94,0.78,0.9,0.54,0.99,0.52,0.88,0.91,0.82,0.73,0.73,0.77,0.99,0.99,1,0.95,1,0.99,0.92,0.92,0.94,0.95,0.96,0.98,0.87,0.73,0.97,0.69,0.98,0.99,1,0.81,1,0.65,0.99,0.7,0.88,0.56,0.55,0.58,0.66,0.84,0.69
S1237,Temozolomide (CCRG 81045),CN1N=NC2=C(N=C[N]2C1=O)C(N)=O,,-0.924,-0.617,-0.363,0.458,0.545,0.005,0.01,0.098,-5.108,0.0000121,0.274,0.1856,0.891,0.699,0.023,0.962,0.021,0.06,0.011,0.352,0.007,0.101,0.004,0.201,2.68,0.81,0.015,0.871,0.825,0.052,0.267,0.019,0.058,0.765,0.003,0.08,0.916,0.195,1.297,2.518,2.761,0.002,0.002,0.017,0.003,0.054,0.006,0.003,0.036,0.004,0.004,0.006,0.003,194.06,165.598,1.172,8,2,108.17,1,2,9,8,0,12,0.083,0,0,0,0,0,0,0,1,0,0.56,2.827,0.167,12,-1.631,0,0,0,0,Accepted,Accepted,Accepted,Rejected,0,Molecule 1,NC(=O)c1ncn2c1nnn(c2=O)C,C6H6N6O2,194.15,14,9,0.17,1,5,1,44.4,108.17,1.29,-1.06,-2.08,-0.57,-1.78,-0.84,-0.79,31.8,0.164,Very soluble,-0.72,36.8,0.189,Very soluble,-0.03,181,0.931,Soluble,High,No,No,No,No,No,No,No,-8.24,0,1,0,0,1,0.55,0,0,1,2.35,0.58,0.95,0.65,0.72,0.91,0.5,0.99,0.61,0.8,0.97,0.72,0.62,0.6,0.85,1,0.99,0.98,0.99,0.99,0.98,0.98,0.98,0.96,0.96,0.98,0.93,0.78,0.55,0.95,0.53,0.98,0.95,0.99,0.84,0.99,0.75,0.96,0.75,0.91,0.59,0.94,0.8,0.91,0.86,0.99
S1247,Leflunomide (HWA486),CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F,,-4.269,3.195,2.972,0.006,0.01,0.004,0.001,0.002,-4.599,0.000015,0.689,0.9681,1.226,0.0396,0.95,0.774,0.909,0.269,0.722,0.778,0.455,0.499,0.689,0.253,3.771,0.176,0.091,0.973,0.985,0.257,0.946,0.927,0.332,0.707,0.004,0.05,0.957,1.342,3.322,3.682,5.619,0.268,0.124,0.948,0.642,0.587,0.022,0.734,0.811,0.175,0.112,0.741,0.863,270.06,240.953,1.121,4,1,55.13,4,2,6,7,0,12,0.333,0,1,0,0,0,4,2,1,1,0.911,2.078,0.167,14,-2.042,0,0,0,0,Accepted,Accepted,Accepted,Accepted,0,Molecule 11,O=C(c1cnoc1C)Nc1ccc(cc1)C(F)(F)F,C12H9F3N2O2,270.21,19,11,0.17,4,6,1,60.69,55.13,2.33,2.49,4.22,2.14,2.97,2.83,-3.25,0.153,0.000564,Soluble,-3.29,0.138,0.00051,Soluble,-5.03,0.00252,0.00000933,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-6.18,0,0,0,0,0,0.55,0,0,0,2.45,0.85,0.84,0.56,0.57,0.79,0.65,0.99,0.54,0.8,0.91,0.69,0.61,0.52,0.99,0.98,0.99,0.79,0.92,0.96,0.98,0.95,0.95,1,0.92,1,0.9,0.53,0.59,0.94,0.76,0.99,0.99,0.99,0.93,1,0.51,0.91,0.59,0.93,0.54,0.72,0.55,0.68,0.75,0.99
